tissue	disease	cell_line	pert_dose	pert_name	pert_time	pert_type	data_level	creation_time	persistent_id	batch
intestine	colon adenocarcinoma	HT29	3.33 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HT29_24H_N02_dexamethasone_3.33uM.tsv.gz	REP.A016_HT29_24H
uterine cervix	cervical adenocarcinoma	HELA	0.04 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HELA_24H_N06_dexamethasone_0.04uM.tsv.gz	REP.A016_HELA_24H
breast	breast carcinoma	MCF10A	0.125 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MCF10A_24H_N05_dexamethasone_0.125uM.tsv.gz	REP.A016_MCF10A_24H
breast	breast carcinoma	MCF10A	0.04 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MCF10A_24H_N06_dexamethasone_0.04uM.tsv.gz	REP.A016_MCF10A_24H
lung	lung cancer	A549	0.125 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_A549_24H_N05_dexamethasone_0.125uM.tsv.gz	REP.A016_A549_24H
kidney		HEK293	1.11 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HEK293_24H_N03_dexamethasone_1.11uM.tsv.gz	REP.A016_HEK293_24H
intestine	colon adenocarcinoma	HT29	10 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HT29_24H_N01_dexamethasone_10uM.tsv.gz	REP.A016_HT29_24H
skin of body	melanoma	A375	0.04 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_A375_24H_N06_dexamethasone_0.04uM.tsv.gz	REP.A016_A375_24H
skin of body	melanoma	A375	0.125 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_A375_24H_N05_dexamethasone_0.125uM.tsv.gz	REP.A016_A375_24H
kidney		HA1E	0.37 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HA1E_24H_N04_dexamethasone_0.37uM.tsv.gz	REP.A016_HA1E_24H
kidney		HEK293	3.33 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HEK293_24H_N02_dexamethasone_3.33uM.tsv.gz	REP.A016_HEK293_24H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	24 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC015_MCF7_24H_C04_dexamethasone_10uM.tsv.gz	CPC015_MCF7_24H
blood	leukemia	JURKAT	0.37 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_JURKAT_24H_N04_dexamethasone_0.37uM.tsv.gz	REP.A016_JURKAT_24H
breast	breast adenocarcinoma	MCF7	3.33 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MCF7_24H_N02_dexamethasone_3.33uM.tsv.gz	REP.A016_MCF7_24H
pancreas	pancreatic carcinoma	YAPC	0.04 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_YAPC_24H_N06_dexamethasone_0.04uM.tsv.gz	REP.A016_YAPC_24H
blood	leukemia	JURKAT	3.33 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_JURKAT_24H_N02_dexamethasone_3.33uM.tsv.gz	REP.A016_JURKAT_24H
pancreas	pancreatic carcinoma	YAPC	3.33 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_YAPC_24H_N02_dexamethasone_3.33uM.tsv.gz	REP.A016_YAPC_24H
prostate gland	prostate adenocarcinoma	PC3	0.04 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_PC3_24H_N06_dexamethasone_0.04uM.tsv.gz	REP.A016_PC3_24H
pancreas	pancreatic carcinoma	YAPC	1.11 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_YAPC_24H_N03_dexamethasone_1.11uM.tsv.gz	REP.A016_YAPC_24H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_PC3_24H_N01_dexamethasone_10uM.tsv.gz	REP.A016_PC3_24H
prostate gland	prostate adenocarcinoma	PC3	3.33 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_PC3_24H_N02_dexamethasone_3.33uM.tsv.gz	REP.A016_PC3_24H
pancreas	pancreatic carcinoma	YAPC	10 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_YAPC_24H_N01_dexamethasone_10uM.tsv.gz	REP.A016_YAPC_24H
prostate gland	prostate adenocarcinoma	PC3	1.11 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_PC3_24H_N03_dexamethasone_1.11uM.tsv.gz	REP.A016_PC3_24H
pancreas	pancreatic carcinoma	YAPC	0.37 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_YAPC_24H_N04_dexamethasone_0.37uM.tsv.gz	REP.A016_YAPC_24H
prostate gland	prostate adenocarcinoma	PC3	0.37 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_PC3_24H_N04_dexamethasone_0.37uM.tsv.gz	REP.A016_PC3_24H
		MCLF027CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR003_MCLF027CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR003_MCLF027CN_6H
pancreas	pancreatic carcinoma	YAPC	0.125 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_YAPC_24H_N05_dexamethasone_0.125uM.tsv.gz	REP.A016_YAPC_24H
prostate gland	prostate adenocarcinoma	PC3	0.125 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_PC3_24H_N05_dexamethasone_0.125uM.tsv.gz	REP.A016_PC3_24H
		MCLF051CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR008_MCLF051CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR008_MCLF051CN_6H
		MCLF123SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR009_MCLF123SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR009_MCLF123SZ_6H
		MCLF033SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR005_MCLF033SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR005_MCLF033SZ_6H
		MCLF051CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR007_MCLF051CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR007_MCLF051CN_6H
		MCLF033SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR006_MCLF033SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR006_MCLF033SZ_6H
		MCLF117SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR002_MCLF117SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR002_MCLF117SZ_6H
		MCLF117SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR001_MCLF117SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR001_MCLF117SZ_6H
lung	lung cancer	T3M10	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_T3M10_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_T3M10_6H
		MCLF027CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR004_MCLF027CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR004_MCLF027CN_6H
intestine	colon adenocarcinoma	SW948	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SW948_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_SW948_6H
intestine	colon adenocarcinoma	SW620	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SW620_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_SW620_6H
intestine	colon adenocarcinoma	SW948	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SW948_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_SW948_6H
large intestine	colon adenocarcinoma	SW480	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SW480_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_SW480_6H
intestine	colon adenocarcinoma	SW620	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SW620_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_SW620_6H
large intestine	colon adenocarcinoma	SW480	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SW480_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_SW480_6H
lung	lung cancer	T3M10	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_T3M10_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_T3M10_6H
kidney		HPTEC	30 uM	dexamethasone	24 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_KTOX002_HPTEC_24H_C07_dexamethasone_30uM.tsv.gz	KTOX002_HPTEC_24H
kidney		HA1E	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC020_HA1E_6H_N11_dexamethasone_10uM.tsv.gz	CPC020_HA1E_6H
lung	lung cancer	HCC515	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC020_HCC515_6H_N11_dexamethasone_10uM.tsv.gz	CPC020_HCC515_6H
kidney		HPTEC	3.33 uM	dexamethasone	24 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_KTOX002_HPTEC_24H_C11_dexamethasone_3.33uM.tsv.gz	KTOX002_HPTEC_24H
skin of body	melanoma	A375	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC020_A375_6H_N11_dexamethasone_10uM.tsv.gz	CPC020_A375_6H
lung	lung cancer	A549	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC020_A549_6H_N11_dexamethasone_10uM.tsv.gz	CPC020_A549_6H
kidney		HPTEC	320 uM	dexamethasone	24 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_KTOX002_HPTEC_24H_C03_dexamethasone_320uM.tsv.gz	KTOX002_HPTEC_24H
blood	leukemia	THP1	0.25 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_THP1_24H_N03_dexamethasone_0.25uM.tsv.gz	REP.B016_THP1_24H
kidney		HEK293	0.03 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_HEK293_24H_N05_dexamethasone_0.03uM.tsv.gz	REP.B016_HEK293_24H
intestine	colon adenocarcinoma	HT29	0.01 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_HT29_24H_N06_dexamethasone_0.01uM.tsv.gz	REP.B016_HT29_24H
intestine	colon adenocarcinoma	HT29	0.25 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_HT29_24H_N03_dexamethasone_0.25uM.tsv.gz	REP.B016_HT29_24H
intestine	colon adenocarcinoma	HT29	0.03 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_HT29_24H_N05_dexamethasone_0.03uM.tsv.gz	REP.B016_HT29_24H
skin of body	melanoma	A375	2.22 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_A375_24H_N01_dexamethasone_2.22uM.tsv.gz	REP.B016_A375_24H
kidney		HEK293	0.25 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_HEK293_24H_N03_dexamethasone_0.25uM.tsv.gz	REP.B016_HEK293_24H
uterine cervix	cervical adenocarcinoma	HELA	0.01 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_HELA_24H_N06_dexamethasone_0.01uM.tsv.gz	REP.B016_HELA_24H
kidney		HA1E	0.25 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_HA1E_24H_N03_dexamethasone_0.25uM.tsv.gz	REP.B016_HA1E_24H
lung	lung cancer	A549	2.22 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_A549_24H_N01_dexamethasone_2.22uM.tsv.gz	REP.B016_A549_24H
kidney		HA1E	0.74 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_HA1E_24H_N02_dexamethasone_0.74uM.tsv.gz	REP.B016_HA1E_24H
blood	leukemia	JURKAT	0.08 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_JURKAT_24H_N04_dexamethasone_0.08uM.tsv.gz	REP.B016_JURKAT_24H
lung	lung cancer	A549	0.08 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_A549_24H_N04_dexamethasone_0.08uM.tsv.gz	REP.B016_A549_24H
lung	lung cancer	A549	0.74 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_A549_24H_N02_dexamethasone_0.74uM.tsv.gz	REP.B016_A549_24H
uterine cervix	cervical adenocarcinoma	HELA	0.25 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_HELA_24H_N03_dexamethasone_0.25uM.tsv.gz	REP.B016_HELA_24H
uterine cervix	cervical adenocarcinoma	HELA	2.22 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_HELA_24H_N01_dexamethasone_2.22uM.tsv.gz	REP.B016_HELA_24H
lung	lung cancer	A549	0.01 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_A549_24H_N06_dexamethasone_0.01uM.tsv.gz	REP.B016_A549_24H
kidney		HA1E	0.03 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_HA1E_24H_N05_dexamethasone_0.03uM.tsv.gz	REP.B016_HA1E_24H
kidney		HEK293	0.74 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_HEK293_24H_N02_dexamethasone_0.74uM.tsv.gz	REP.B016_HEK293_24H
breast	breast carcinoma	MCF10A	0.08 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_MCF10A_24H_N04_dexamethasone_0.08uM.tsv.gz	REP.B016_MCF10A_24H
breast	breast adenocarcinoma	MCF7	0.74 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_MCF7_24H_N02_dexamethasone_0.74uM.tsv.gz	REP.B016_MCF7_24H
intestine	colon adenocarcinoma	HT29	2.22 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_HT29_24H_N01_dexamethasone_2.22uM.tsv.gz	REP.B016_HT29_24H
breast	breast adenocarcinoma	MCF7	0.25 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_MCF7_24H_N03_dexamethasone_0.25uM.tsv.gz	REP.B016_MCF7_24H
skin of body	melanoma	A375	0.08 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_A375_24H_N04_dexamethasone_0.08uM.tsv.gz	REP.B016_A375_24H
kidney		HEK293	2.22 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_HEK293_24H_N01_dexamethasone_2.22uM.tsv.gz	REP.B016_HEK293_24H
blood	leukemia	JURKAT	0.03 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_JURKAT_24H_N05_dexamethasone_0.03uM.tsv.gz	REP.B016_JURKAT_24H
lung	lung cancer	A549	0.03 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_A549_24H_N05_dexamethasone_0.03uM.tsv.gz	REP.B016_A549_24H
breast	breast carcinoma	MCF10A	0.74 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_MCF10A_24H_N02_dexamethasone_0.74uM.tsv.gz	REP.B016_MCF10A_24H
blood	leukemia	JURKAT	0.74 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_JURKAT_24H_N02_dexamethasone_0.74uM.tsv.gz	REP.B016_JURKAT_24H
breast	breast adenocarcinoma	MDAMB231	2.22 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_MDAMB231_24H_N01_dexamethasone_2.22uM.tsv.gz	REP.B016_MDAMB231_24H
prostate gland	prostate adenocarcinoma	PC3	0.01 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_PC3_24H_N06_dexamethasone_0.01uM.tsv.gz	REP.B016_PC3_24H
blood	leukemia	THP1	0.03 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_THP1_24H_N05_dexamethasone_0.03uM.tsv.gz	REP.B016_THP1_24H
prostate gland	prostate adenocarcinoma	PC3	0.74 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_PC3_24H_N02_dexamethasone_0.74uM.tsv.gz	REP.B016_PC3_24H
pancreas	pancreatic carcinoma	YAPC	0.25 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_YAPC_24H_N03_dexamethasone_0.25uM.tsv.gz	REP.B016_YAPC_24H
kidney		HPTEC	1000 uM	dexamethasone	24 h	Chemical	5	2021-05-05	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_KTOX002_HPTEC_24H_C01_dexamethasone_1000uM.tsv.gz	KTOX002_HPTEC_24H
kidney		HPTEC	100 uM	dexamethasone	24 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_KTOX002_HPTEC_24H_C05_dexamethasone_100uM.tsv.gz	KTOX002_HPTEC_24H
kidney		HPTEC	10 uM	dexamethasone	24 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_KTOX002_HPTEC_24H_C09_dexamethasone_10uM.tsv.gz	KTOX002_HPTEC_24H
breast	breast carcinoma	MCF10A	0.01 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_MCF10A_24H_N06_dexamethasone_0.01uM.tsv.gz	REP.B016_MCF10A_24H
skin of body	melanoma	A375	0.01 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_A375_24H_N06_dexamethasone_0.01uM.tsv.gz	REP.B016_A375_24H
breast	breast carcinoma	MCF10A	0.25 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_MCF10A_24H_N03_dexamethasone_0.25uM.tsv.gz	REP.B016_MCF10A_24H
breast	breast adenocarcinoma	MCF7	0.08 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_MCF7_24H_N04_dexamethasone_0.08uM.tsv.gz	REP.B016_MCF7_24H
breast	breast adenocarcinoma	MCF7	0.03 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.B016_MCF7_24H_N05_dexamethasone_0.03uM.tsv.gz	REP.B016_MCF7_24H
